At least seventy teams scored any points.	More than seventy men raised any girls.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five families owned any homes.	At least seventy men painted any faces.	left	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five countries lost any men.	More than five doors opened any ways.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least seventy towns lost any men.	More than seventy teams scored any points.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five members created any communities.	More than seventy men struck any girls.	left	7980cdac2357b4a03b9dcf61c779e895	1.0
At least seventy members bought any books.	More than seventy wives killed any men.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five players purchased any games.	At least seventy men painted any faces.	left	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five men created any countries.	More than seventy stories took any lives.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five members created any names.	More than five men picked any girls.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five men killed any girls.	More than five teams took any lives.	left	7980cdac2357b4a03b9dcf61c779e895	1.0
At least seventy members created any names.	More than five rocks told any stories.	left	7980cdac2357b4a03b9dcf61c779e895	1.0
More than five mothers lost any lives.	More than seventy men painted any faces.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five teams took any lives.	At least seventy members created any communities.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least seventy families owned any homes.	More than seventy doors opened any ways.	left	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five records told any stories.	More than seventy men lost any families.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five men grabbed any books.	More than seventy wives killed any men.	right	7980cdac2357b4a03b9dcf61c779e895	1.0
At least five players purchased any games.	More than five towns lost any men.	left	36555b7418147da535466470137262f9	0.91
At least five men killed any girls.	At least seventy members lost any eyes.	right	36555b7418147da535466470137262f9	0.91
At least five men lost any hands.	At least seventy families owned any homes.	right	36555b7418147da535466470137262f9	0.91
At least five men lost any hands.	More than five members bought any books.	right	36555b7418147da535466470137262f9	0.91
At least five men opened any doors.	At least seventy men created any countries.	left	36555b7418147da535466470137262f9	0.91
At least seventy men launched any fires.	More than seventy men opened any doors.	right	36555b7418147da535466470137262f9	0.91
More than five stories took any lives.	More than seventy men threw any rocks.	right	36555b7418147da535466470137262f9	0.91
At least five men created any countries.	More than seventy men bought any rocks.	right	36555b7418147da535466470137262f9	0.91
At least seventy men lost any mothers.	More than seventy families owned any homes.	right	36555b7418147da535466470137262f9	0.91
At least seventy women drew any lines.	More than five positions scored any points.	left	36555b7418147da535466470137262f9	0.91
At least five men grabbed any books.	More than seventy players created any worlds.	right	36555b7418147da535466470137262f9	0.91
At least five men killed any girls.	At least seventy fires destroyed any schools.	right	36555b7418147da535466470137262f9	0.91
At least five men raised any girls.	At least seventy men threw any rocks.	right	36555b7418147da535466470137262f9	0.91
At least seventy fires destroyed any schools.	More than five men lost any hands.	left	36555b7418147da535466470137262f9	0.91
More than five families built any communities.	More than seventy towns lost any men.	right	36555b7418147da535466470137262f9	0.91
More than five men changed any worlds.	More than seventy men lost any hands.	right	36555b7418147da535466470137262f9	0.91
At least seventy fires destroyed any churches.	More than five teams took any lives.	left	67af076bc675d7a5f191330e43301fff	0.95
At least five men picked any girls.	More than five men picked any girls.	left	67af076bc675d7a5f191330e43301fff	0.95
More than five stories took any lives.	More than seventy women drew any lines.	right	67af076bc675d7a5f191330e43301fff	0.95
At least five members lost any eyes.	At least seventy men destroyed any cities.	right	67af076bc675d7a5f191330e43301fff	0.95
At least seventy members created any communities.	More than seventy men raised any girls.	right	67af076bc675d7a5f191330e43301fff	0.95
At least seventy families owned any homes.	More than seventy men struck any girls.	left	67af076bc675d7a5f191330e43301fff	0.95
More than five members lost any eyes.	More than seventy teams scored any points.	left	67af076bc675d7a5f191330e43301fff	0.95
More than five men threw any rocks.	More than seventy men bought any rocks.	right	67af076bc675d7a5f191330e43301fff	0.95
At least five men changed any worlds.	More than seventy men grabbed any books.	right	67af076bc675d7a5f191330e43301fff	0.95
At least five towns lost any men.	More than five men destroyed any cities.	left	67af076bc675d7a5f191330e43301fff	0.95
At least seventy countries lost any men.	More than seventy men painted any faces.	right	67af076bc675d7a5f191330e43301fff	0.95
